"","country","variable","low","high","peak"
"1","Argentina","AH",5.71316905555556,14.6668782777778,10
"2","Argentina","flu",0,0.0078665625,27
"3","Argentina","PRCP",4.56166672222222,45.2583317777778,14
"4","Argentina","RH",0.543088055555556,0.760876388888889,20
"5","Argentina","T",8.60185185185185,24.1512345679012,4
"6","Australia","AH",7.17258372222222,13.0375964444444,8
"7","Australia","flu",0,0.00528529411764706,30
"8","Australia","PRCP",5.41611116666667,31.5711110555556,6
"9","Australia","RH",0.546369,0.734651444444444,28
"10","Australia","T",11.195987654321,24.1712962962963,4
"11","Austria","AH",3.29935094444444,12.1742088333333,30
"12","Austria","flu",0,0.0063299,6
"13","Austria","PRCP",6.85111111111111,26.9972226111111,38
"14","Austria","RH",0.692612166666667,0.851827277777778,46
"15","Austria","T",-2.71450617283951,18.5308641975309,31
"16","Belarus","AH",2.71790383333333,12.9964913333333,30
"17","Belarus","flu",0,0.00324,7
"18","Belarus","RH",0.604382666666667,0.921976888888889,47
"19","Belarus","T",-6.43055555555556,19.7824074074074,30
"20","Belgium","AH",4.96658905555556,12.2418585,34
"21","Belgium","flu",0,0.00498435714285714,3
"22","Belgium","PRCP",8.31666633333333,24.8666669444444,46
"23","Belgium","RH",0.693379055555556,0.897695166666667,48
"24","Belgium","T",2.32947530864197,18.6157407407407,30
"25","Brazil","AH",14.7574039444444,21.1922964444444,10
"26","Brazil","flu",1.64285714285714e-05,0.000306625,26
"27","Brazil","PRCP",7.65222227777778,103.957223444444,2
"28","Brazil","RH",0.681242333333333,0.850695222222222,12
"29","Brazil","T",23.0300925925926,26.6373456790123,10
"30","Bulgaria","AH",3.94171294117647,14.5635968823529,31
"31","Bulgaria","flu",0,0.00283377777777778,45
"32","Bulgaria","RH",0.620279176470588,0.848440705882353,48
"33","Bulgaria","T",-0.397058823529412,24.1315359477124,31
"34","Cambodia","AH",18.1272128823529,25.6118471764706,38
"35","Cambodia","flu",2e-05,0.003240625,43
"36","Cambodia","PRCP",2.78111105555556,108.2666675,40
"37","Cambodia","RH",0.663807882352941,0.909727647058823,38
"38","Cambodia","T",26.843954248366,31.6990740740741,16
"39","Cameroon","AH",12.1622561111111,21.9797950555556,34
"40","Cameroon","flu",8.46666666666667e-05,0.000975666666666667,48
"41","Cameroon","RH",0.501639777777778,0.969137111111111,34
"42","Cameroon","T",24.4550653594771,28.2600308641975,11
"43","Canada","AH",1.32114805555556,10.8441147777778,30
"44","Canada","flu",4.76e-05,0.0187593333333333,45
"45","Canada","PRCP",10.9205554444444,30.4766671666667,49
"46","Canada","RH",0.594707777777778,0.762722722222222,48
"47","Canada","T",-14.1712962962963,17.5115740740741,30
"48","Chile","AH",6.84565661111111,10.5632858888889,3
"49","Chile","flu",0,0.005706375,28
"50","Chile","PRCP",0.1,48.9266647222222,25
"51","Chile","RH",0.668976166666667,0.859436333333333,26
"52","Chile","T",8.2037037037037,18.0054012345679,3
"53","China","AH",2.30992105555556,18.2854165555556,30
"54","China","flu",0.0001145,0.0009125,53
"55","China","PRCP",8.12333322222222,104.668888222222,26
"56","China","RH",0.480065611111111,0.773785555555556,33
"57","China","T",-1.21450617283951,25.6188271604938,30
"58","Colombia","AH",18.3138315,20.8177079444444,46
"59","Colombia","flu",0,0.000399705882352941,36
"60","Colombia","PRCP",10.9105554444444,136.166667277778,45
"61","Colombia","RH",0.727839444444444,0.834295833333333,19
"62","Colombia","T",25.9645061728395,27.0964506172839,36
"63","Costa Rica","AH",15.3951305,21.7826923333333,35
"64","Costa Rica","flu",0.000426833333333333,0.00362416666666667,25
"65","Costa Rica","RH",0.629316888888889,0.893539666666667,42
"66","Costa Rica","T",24.679012345679,27.0023148148148,15
"67","Croatia","AH",4.37794672222222,14.0596337222222,31
"68","Croatia","flu",0,0.007375,4
"69","Croatia","PRCP",12.3799999444444,37.2355557222222,38
"70","Croatia","RH",0.574898611111111,0.769121055555556,48
"71","Croatia","T",3.8341049382716,25.2824074074074,31
"72","Cuba","AH",15.8919561666667,22.7120137777778,36
"73","Cuba","flu",0.0001775,0.0048734,41
"74","Cuba","RH",0.737874833333333,0.872763166666667,41
"75","Cuba","T",22.8418209876543,28.2461419753086,33
"76","Czech Republic","AH",3.31899011111111,11.6834892222222,30
"77","Czech Republic","flu",0,0.00269133333333333,3
"78","Czech Republic","PRCP",7.41777794444444,29.2794441666667,28
"79","Czech Republic","RH",0.668727,0.898250277777778,48
"80","Czech Republic","T",-3.38117283950617,18.9351851851852,31
"81","Denmark","AH",4.50022866666667,12.4610246666667,32
"82","Denmark","flu",3.62e-05,0.0062928,1
"83","Denmark","PRCP",8.27666672222222,27.5344451111111,33
"84","Denmark","RH",0.757601111111111,0.904293611111111,48
"85","Denmark","T",0.492283950617285,17.9444444444444,31
"86","Dominican Republic","AH",19.1538665,24.2220905555556,37
"87","Dominican Republic","flu",0,0.000587375,22
"88","Dominican Republic","PRCP",7.38111111111111,97.5938879444444,30
"89","Dominican Republic","RH",0.805258944444444,0.880768277777778,46
"90","Dominican Republic","T",25.1188271604938,28.9706790123457,32
"91","Egypt","AH",7.17844122222222,16.4219820555556,33
"92","Egypt","flu",5.81111111111111e-05,0.00255966666666667,53
"93","Egypt","PRCP",0,3.37944438888889,4
"94","Egypt","RH",0.448022722222222,0.621975666666667,1
"95","Egypt","T",14.1890432098765,30.2469135802469,31
"96","El Salvador","AH",15.6859691111111,22.7735667777778,37
"97","El Salvador","flu",0,0.00458533333333333,29
"98","El Salvador","RH",0.598223166666667,0.910151222222222,39
