"","country","week","meanflu","meantemp","meanRH","meanAH","varflu","vartemp","day"
"15","Argentina",15,5.48333333333333e-05,17.0138888888889,0.729660583333333,10.6275655,4.52269696969697e-09,3.51003086419753,101.5
"16","Argentina",16,7.79166666666667e-05,16.9363425925926,0.66980725,9.77618966666667,1.02526287878788e-08,3.69425008183689,108.5
"17","Argentina",17,0.000143461538461538,15.0470085470085,0.697920153846154,9.06650476923077,1.77391025641026e-08,7.83437945156695,115.5
"18","Argentina",18,0.000209333333333333,14.1851851851852,0.722792333333333,8.91628425,6.32309696969697e-08,6.03497942386831,122.5
"19","Argentina",19,0.000432,13.6122685185185,0.717915083333333,8.55331758333333,4.76774545454545e-07,5.19446051954733,129.5
"20","Argentina",20,0.000618416666666667,12.1967592592593,0.75787175,8.18723183333333,1.41592881060606e-06,3.97116418817808,136.5
"21","Argentina",21,0.000888333333333333,12.2789351851852,0.751479583333333,8.27036183333333,2.35708042424242e-06,4.16366646791994,143.5
"22","Argentina",22,0.00131938461538462,11.4487179487179,0.738694769230769,7.76645615384615,3.62451675641026e-06,10.0941160177271,150.5
"23","Argentina",23,0.00157678571428571,10.389880952381,0.7112635,6.95222307142857,3.86488987362637e-06,5.00149763431013,157.5
"24","Argentina",24,0.00218185714285714,10.2301587301587,0.737764071428571,7.11585321428571,1.6889977978022e-05,4.04789038122371,164.5
"25","Argentina",25,0.00216592857142857,8.87896825396825,0.733856714285714,6.49030785714286,1.19974483791209e-05,4.66792582417582,171.5
"26","Argentina",26,0.00265235714285714,9.48015873015873,0.704818642857143,6.50794792857143,2.53960784010989e-05,4.9896045312712,178.5
"27","Argentina",27,0.00287353846153846,9.30982905982906,0.713925615384615,6.54331192307692,2.53868217692308e-05,6.24805120291232,185.5
"28","Argentina",28,0.00280208333333333,9.10416666666667,0.674723166666667,6.11467375,1.66457200833333e-05,8.66738566217733,192.5
"29","Argentina",29,0.00258858333333333,8.81481481481481,0.649260083333333,5.73408216666667,1.37325464469697e-05,7.35245978301534,199.5
"30","Argentina",30,0.0023805,8.83101851851852,0.59426925,5.19923308333333,9.98454590909091e-06,2.103178778526,206.5
"31","Argentina",31,0.00168233333333333,9.22685185185185,0.6680605,6.12507133333333,5.34685006060606e-06,9.54402824541713,213.5
"32","Argentina",32,0.00162291666666667,10.5462962962963,0.595222583333333,5.87141766666667,3.15534735606061e-06,2.97942386831276,220.5
"33","Argentina",33,0.00145633333333333,10.2523148148148,0.603448416666667,5.85238316666667,2.29400515151515e-06,3.57904858772914,227.5
"34","Argentina",34,0.00145433333333333,11.3333333333333,0.587511,6.11207458333333,2.68448551515151e-06,8.79826038159371,234.5
"35","Argentina",35,0.00155933333333333,11.8912037037037,0.547122666666667,5.74363566666667,3.70296678787879e-06,6.58283646651702,241.5
"36","Argentina",36,0.00152116666666667,13.7777777777778,0.579007083333333,6.94847033333333,4.14814360606061e-06,7.85563973063973,248.5
"37","Argentina",37,0.00142266666666667,13.1469907407407,0.578846666666667,6.65237683333333,3.78096296969697e-06,6.17313616488964,255.5
