"","country","minflu","maxflu","peakflu","troughflu","minT","maxT","peakT","troughT","minRH","maxRH","peakRH","troughRH"
"55","Panama",0,0.00475683333333333,26,1,26.3078703703704,29.0648148148148,13,48,0.669724833333333,0.8884425,47,11
"56","Paraguay",3.27e-05,0.004353875,27,14,17.3420138888889,28.4847222222222,2,30,0.6087305,0.838706875,25,35
"57","Peru",9.57e-05,0.0012745,30,52,18.4694444444444,24.7861111111111,6,29,0.7435069,0.8395481,23,46
"58","Philippines",3.14285714285714e-06,0.0003635,32,52,26.0791666666667,28.925,18,3,0.8546056,0.9260504,45,16
"59","Poland",0,0.001574,3,20,-3.52564102564103,19.6064814814815,29,4,0.613349125,0.900869461538461,47,17
"60","Portugal",0,0.00283816666666667,3,19,11.0854700854701,22.8402777777778,32,5,0.68895175,0.8331318,52,32
"61","Romania",0,0.00153866666666667,10,21,-2.89484126984127,24.4388888888889,29,5,0.6020534,0.866449307692308,2,34
"62","Senegal",1.74666666666667e-05,0.00383453333333333,42,1,25.2453703703704,31.3037037037037,20,1,0.375210666666667,0.897858666666667,34,9
"63","Singapore",0.00219442857142857,0.0141783333333333,19,40,26.8650793650794,29.4444444444444,24,2,0.801568666666667,0.913213666666667,46,25
"64","Slovakia",0,0.003585,8,21,-3.96913580246914,22.712962962963,25,5,0.6057164,0.872675,48,16
"65","Slovenia",0.000283,0.0154310909090909,5,36,-0.686868686868687,22.4285714285714,25,4,0.632913857142857,0.891005916666667,48,29
"66","South Africa",1.66666666666667e-06,0.00116507692307692,23,9,11.3076923076923,22.5213675213675,6,28,0.483882571428571,0.708469384615385,4,38
"67","Spain",0,0.00304028571428571,7,33,8.36965811965812,25.9583333333333,34,5,0.5714168,0.763439214285714,3,29
"68","Sri Lanka",0.000131,0.001203,50,33,25.7083333333333,29.2519841269841,19,51,0.807532714285714,0.925585714285714,2,8
"69","Sweden",0,0.0382534166666667,52,38,-4.06944444444444,16.6111111111111,31,4,0.683590125,0.892619083333333,45,18
"70","Switzerland",0,0.008679,6,19,-1.16296296296296,18.7103174603175,34,5,0.636463733333333,0.833758066666667,41,11
"71","Thailand",4.38e-05,0.00059075,36,22,23.7837301587302,30.0833333333333,16,52,0.695957428571429,0.898277666666667,37,52
"72","Tunisia",0,0.001458,9,20,11.0216049382716,25.5555555555556,24,4,0.5216735,0.72183925,2,20
"73","Turkey",0,0.000839142857142857,5,22,2.79365079365079,27.6759259259259,30,5,0.4326035,0.753965833333333,1,34
"74","Uganda",0,0.0004154,44,52,21.9944444444444,25.6694444444444,7,32,0.5633834,0.825492,32,5
"75","Ukraine",0,0.000904818181818182,11,27,-4.92676767676768,26.2777777777778,29,4,0.5303445,0.8944927,47,18
"76","United Kingdom",2e-05,0.00414914285714286,1,35,4.54365079365079,16.1458333333333,31,51,0.761230666666667,0.870686357142857,51,16
"77","Uruguay",0,0.0033802,31,3,10.2944444444444,27.9791666666667,52,30,0.475537,0.863703818181818,26,49
"78","Vietnam",0.000115142857142857,0.000349714285714286,27,18,19.8849206349206,29.0277777777778,23,2,0.845483285714286,0.922489285714286,46,20
