7.5,7.5,7.5,22.25,22.25,22.25,22.25,22.25,32,32,32
24,51,82,21,35,50.5,64.5,81,20,49.5,81
3,3,3,5,3,3,3,4,3,3,3
88,66,126,75,86,84,77,67,87,98,91
87,49,120,77,93,62,45,55,70,45,50
80,75,71,65,58,49,29,22,56,22,15
78,61,70,64,59,29,15,13,45,13,6.6
68,39,39,74,66,6.4,6.6,6.4,18,2.7,NA
63,42,35,66,53,4.2,3.2,5,17,0.7,NA
61,19,3,22,14,NA,NA,0,1.3,0,0
